Scenario,Class,Technology,Year,Value
Advanced,1,Technology 1,2022,4429.425325925925
Advanced,1,Technology 1,2023,4495.415703703701
Advanced,1,Technology 1,2024,4561.76513333333
Advanced,1,Technology 1,2025,4628.4736148148095
Advanced,1,Technology 1,2026,4695.5411481481415
Advanced,1,Technology 1,2027,4762.967733333327
Advanced,1,Technology 1,2028,4830.753370370363
Advanced,1,Technology 1,2029,4898.89805925926
Advanced,1,Technology 1,2030,4967.4018
Advanced,1,Technology 1,2031,4971.680423344259
Advanced,1,Technology 1,2032,4975.960310426222
Advanced,1,Technology 1,2033,4980.241461245899
Advanced,1,Technology 1,2034,4984.523875803279
Advanced,1,Technology 1,2035,4988.8075540983555
Advanced,1,Technology 1,2036,4993.092496131143
Advanced,1,Technology 1,2037,4997.378701901637
Advanced,1,Technology 1,2038,5001.666171409834
Advanced,1,Technology 1,2039,5005.954904655736
Advanced,1,Technology 1,2040,5010.24490163934
Advanced,1,Technology 1,2041,5014.53616236065
Advanced,1,Technology 1,2042,5018.828686819664
Advanced,1,Technology 1,2043,5023.122475016392
Advanced,1,Technology 1,2044,5027.417526950814
Advanced,1,Technology 1,2045,5031.713842622949
Advanced,1,Technology 1,2046,5036.0114220327805
Advanced,1,Technology 1,2047,5040.310265180324
Advanced,1,Technology 1,2048,5044.610372065572
Advanced,1,Technology 1,2049,5048.911742688524
Advanced,1,Technology 1,2050,5053.21437704918
Moderate,1,Technology 1,2022,4397.3155999999935
Moderate,1,Technology 1,2023,4430.837199999997
Moderate,1,Technology 1,2024,4464.3588
Moderate,1,Technology 1,2025,4497.880399999995
Moderate,1,Technology 1,2026,4531.401999999997
Moderate,1,Technology 1,2027,4564.9236
Moderate,1,Technology 1,2028,4598.445199999995
Moderate,1,Technology 1,2029,4631.966799999997
Moderate,1,Technology 1,2030,4665.4884
Moderate,1,Technology 1,2031,4669.25958
Moderate,1,Technology 1,2032,4673.03076
Moderate,1,Technology 1,2033,4676.80194
Moderate,1,Technology 1,2034,4680.57312
Moderate,1,Technology 1,2035,4684.3443
Moderate,1,Technology 1,2036,4688.11548
Moderate,1,Technology 1,2037,4691.88666
Moderate,1,Technology 1,2038,4695.657839999992
Moderate,1,Technology 1,2039,4699.4290200000005
Moderate,1,Technology 1,2040,4703.2002
Moderate,1,Technology 1,2041,4706.97138
Moderate,1,Technology 1,2042,4710.74256
Moderate,1,Technology 1,2043,4714.51374
Moderate,1,Technology 1,2044,4718.28492
Moderate,1,Technology 1,2045,4722.0561
Moderate,1,Technology 1,2046,4725.82728
Moderate,1,Technology 1,2047,4729.59846
Moderate,1,Technology 1,2048,4733.36964
Moderate,1,Technology 1,2049,4737.1408200000005
Moderate,1,Technology 1,2050,4740.912
Conservative,1,Technology 1,2022,4369.779999999997
Conservative,1,Technology 1,2023,4375.765999999994
Conservative,1,Technology 1,2024,4381.7519999999995
Conservative,1,Technology 1,2025,4387.737999999998
Conservative,1,Technology 1,2026,4393.723999999995
Conservative,1,Technology 1,2027,4399.71
Conservative,1,Technology 1,2028,4405.695999999997
Conservative,1,Technology 1,2029,4411.681999999994
Conservative,1,Technology 1,2030,4417.668
Conservative,1,Technology 1,2031,4423.0554
Conservative,1,Technology 1,2032,4428.442800000001
Conservative,1,Technology 1,2033,4433.830199999999
Conservative,1,Technology 1,2034,4439.2176
Conservative,1,Technology 1,2035,4444.6050000000005
Conservative,1,Technology 1,2036,4449.9924
Conservative,1,Technology 1,2037,4455.3798
Conservative,1,Technology 1,2038,4460.7672
Conservative,1,Technology 1,2039,4466.154599999992
Conservative,1,Technology 1,2040,4471.5419999999995
Conservative,1,Technology 1,2041,4476.9294
Conservative,1,Technology 1,2042,4482.3168000000005
Conservative,1,Technology 1,2043,4487.704199999999
Conservative,1,Technology 1,2044,4493.0916
Conservative,1,Technology 1,2045,4498.479
Conservative,1,Technology 1,2046,4503.866400000001
Conservative,1,Technology 1,2047,4509.2537999999995
Conservative,1,Technology 1,2048,4514.6412
Conservative,1,Technology 1,2049,4520.028600000001
Conservative,1,Technology 1,2050,4525.415999999999
Advanced,2,Technology 1,2022,4156.722632592587
Advanced,2,Technology 1,2023,4219.643117037033
Advanced,2,Technology 1,2024,4282.922653333332
Advanced,2,Technology 1,2025,4346.561241481475
Advanced,2,Technology 1,2026,4410.558881481477
Advanced,2,Technology 1,2027,4474.915573333333
Advanced,2,Technology 1,2028,4539.63131703703
Advanced,2,Technology 1,2029,4604.706112592589
Advanced,2,Technology 1,2030,4670.1399599999995
Advanced,2,Technology 1,2031,4673.67703099453
Advanced,2,Technology 1,2032,4677.2146381202165
Advanced,2,Technology 1,2033,4680.752781377045
Advanced,2,Technology 1,2034,4684.291460765023
Advanced,2,Technology 1,2035,4687.830676284149
Advanced,2,Technology 1,2036,4691.370427934426
Advanced,2,Technology 1,2037,4694.910715715842
Advanced,2,Technology 1,2038,4698.451539628409
Advanced,2,Technology 1,2039,4701.992899672124
Advanced,2,Technology 1,2040,4705.534795846988
Advanced,2,Technology 1,2041,4709.077228153003
Advanced,2,Technology 1,2042,4712.620196590157
Advanced,2,Technology 1,2043,4716.163701158462
Advanced,2,Technology 1,2044,4719.707741857916
Advanced,2,Technology 1,2045,4723.252318688518
Advanced,2,Technology 1,2046,4726.7974316502705
Advanced,2,Technology 1,2047,4730.343080743163
Advanced,2,Technology 1,2048,4733.889265967206
Advanced,2,Technology 1,2049,4737.435987322397
Advanced,2,Technology 1,2050,4740.983244808738
Moderate,2,Technology 1,2022,4125.611546666665
Moderate,2,Technology 1,2023,4157.06189333333
Moderate,2,Technology 1,2024,4188.512239999994
Moderate,2,Technology 1,2025,4219.962586666658
Moderate,2,Technology 1,2026,4251.412933333332
Moderate,2,Technology 1,2027,4282.863279999997
Moderate,2,Technology 1,2028,4314.3136266666625
Moderate,2,Technology 1,2029,4345.763973333327
Moderate,2,Technology 1,2030,4377.214319999991
Moderate,2,Technology 1,2031,4380.752484
Moderate,2,Technology 1,2032,4384.290648
Moderate,2,Technology 1,2033,4387.828812
Moderate,2,Technology 1,2034,4391.366976
Moderate,2,Technology 1,2035,4394.905139999992
Moderate,2,Technology 1,2036,4398.443303999991
Moderate,2,Technology 1,2037,4401.981467999992
Moderate,2,Technology 1,2038,4405.519632
Moderate,2,Technology 1,2039,4409.057796
Moderate,2,Technology 1,2040,4412.59596
Moderate,2,Technology 1,2041,4416.134124
Moderate,2,Technology 1,2042,4419.672288
Moderate,2,Technology 1,2043,4423.210452
Moderate,2,Technology 1,2044,4426.748616
Moderate,2,Technology 1,2045,4430.28678
Moderate,2,Technology 1,2046,4433.824944000001
Moderate,2,Technology 1,2047,4437.363108
Moderate,2,Technology 1,2048,4440.901272
Moderate,2,Technology 1,2049,4444.439436
Moderate,2,Technology 1,2050,4447.9776
Conservative,2,Technology 1,2022,4099.7773333333325
Conservative,2,Technology 1,2023,4105.393466666665
Conservative,2,Technology 1,2024,4111.009599999998
Conservative,2,Technology 1,2025,4116.62573333333
Conservative,2,Technology 1,2026,4122.241866666662
Conservative,2,Technology 1,2027,4127.857999999994
Conservative,2,Technology 1,2028,4133.474133333327
Conservative,2,Technology 1,2029,4139.090266666659
Conservative,2,Technology 1,2030,4144.7064
Conservative,2,Technology 1,2031,4149.7609199999915
Conservative,2,Technology 1,2032,4154.81544
Conservative,2,Technology 1,2033,4159.869959999991
Conservative,2,Technology 1,2034,4164.92448
Conservative,2,Technology 1,2035,4169.978999999991
Conservative,2,Technology 1,2036,4175.03352
Conservative,2,Technology 1,2037,4180.088039999991
Conservative,2,Technology 1,2038,4185.14256
Conservative,2,Technology 1,2039,4190.197079999992
Conservative,2,Technology 1,2040,4195.2516
Conservative,2,Technology 1,2041,4200.306119999991
Conservative,2,Technology 1,2042,4205.360639999991
Conservative,2,Technology 1,2043,4210.415159999991
Conservative,2,Technology 1,2044,4215.469679999991
Conservative,2,Technology 1,2045,4220.524199999991
Conservative,2,Technology 1,2046,4225.578719999991
Conservative,2,Technology 1,2047,4230.633239999991
Conservative,2,Technology 1,2048,4235.687759999992
Conservative,2,Technology 1,2049,4240.742279999991
Conservative,2,Technology 1,2050,4245.796799999991
Advanced,3,Technology 1,2022,4063.4296059259186
Advanced,3,Technology 1,2023,4125.299863703698
Advanced,3,Technology 1,2024,4187.529173333329
Advanced,3,Technology 1,2025,4250.117534814813
Advanced,3,Technology 1,2026,4313.06494814814
Advanced,3,Technology 1,2027,4376.371413333327
Advanced,3,Technology 1,2028,4440.0369303703665
Advanced,3,Technology 1,2029,4504.061499259256
Advanced,3,Technology 1,2030,4568.445119999999
Advanced,3,Technology 1,2031,4571.728502032784
Advanced,3,Technology 1,2032,4575.012171278687
Advanced,3,Technology 1,2033,4578.296127737704
Advanced,3,Technology 1,2034,4581.580371409834
Advanced,3,Technology 1,2035,4584.864902295076
Advanced,3,Technology 1,2036,4588.14972039344
Advanced,3,Technology 1,2037,4591.434825704915
Advanced,3,Technology 1,2038,4594.720218229504
Advanced,3,Technology 1,2039,4598.005897967205
Advanced,3,Technology 1,2040,4601.291864918028
Advanced,3,Technology 1,2041,4604.578119081963
Advanced,3,Technology 1,2042,4607.864660459011
Advanced,3,Technology 1,2043,4611.15148904918
Advanced,3,Technology 1,2044,4614.438604852453
