date,Canada,China,Germany,France,United Kingdom,Italy,Japan,South Korea,Philippines,USA
2023,,,,,,,,,,
2022,79.762,75.933,79.88,74.311,77.552,65.758,81.266,70.471,61.725,72.675
2021,79.439,75.839,78.924,73.705,77.439,64.676,80.639,68.978,58.721,72.073
2020,77.693,74.291,78.821,71.704,78.04,64.424,80.296,68.465,56.914,71.72
2019,79.132,75.389,80.071,72.372,78.368,66.061,80.242,69.388,61.577,72.865
2018,78.607,75.495,79.074,72.568,78.117,65.968,79.455,69.209,61.074,72.401
2017,78.646,75.712,78.869,72.193,77.8,65.764,78.209,69.183,61.264,72.128
2016,78.344,75.932,78.506,72.206,77.53,65.303,77.423,68.74,63.517,71.721
2015,78.209,76.067,77.382,72.021,77.101,64.417,76.498,68.509,63.312,71.366
2014,78.026,76.16,77.565,71.666,76.878,64.316,76.086,67.92,64.12,71.459
2013,78.323,76.275,77.427,71.651,76.637,63.699,75.326,66.654,63.324,71.571
2012,78.101,76.555,77.104,70.954,76.264,63.81,74.419,66.37,63.585,71.841
2011,78.121,76.878,77.217,70.265,75.805,62.334,74.322,66.203,64.05,71.883
2010,78.168,76.86,76.539,70.378,75.629,62.224,74.413,65.853,63.128,72.427
2009,78.326,77.395,76.521,70.379,75.903,62.504,74.349,65.533,63.141,73.108
2008,78.778,77.94,76.151,69.919,76.098,63.161,74.244,66.145,62.715,73.777
2007,78.678,78.483,75.881,69.719,75.824,62.667,74.047,66.413,62.842,73.797
2006,78.141,79.011,75.335,69.645,76.033,62.96,73.612,66.428,63.032,74.067
2005,78.19,79.544,74.108,69.7,75.658,62.796,73.136,66.352,63.132,73.972
2004,78.614,80.091,71.693,70.066,75.275,63.163,72.72,66.373,63.076,73.988
2003,78.665,80.619,71.772,70.18,75.305,62.417,72.729,65.478,62.668,74.324
2002,77.93,81.122,71.244,69.24,75.324,61.587,72.731,65.684,62.78,74.928
2001,76.883,81.601,71.114,68.909,75.195,60.777,73.009,64.971,62.831,75.354
2000,76.668,82.051,70.74,69.054,75.557,60.359,72.86,64.493,62.853,75.78
